Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Agassi A.,Puerta M.,1,112,6.0,2.0,6.0,2.0,6.0,3.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Alami K.,Manta L.,35,107,6.0,4.0,7.0,6.0,7.0,5.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Arazi H.,Alonso J.,41,111,6.0,3.0,7.0,6.0,6.0,2.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Behrend T.,Meligeni F.,106,28,6.0,2.0,4.0,6.0,6.0,7.0,6.0,3.0,6.0,0.0,3,2,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Bjorkman J.,Stoltenberg J.,76,81,6.0,7.0,6.0,4.0,6.0,4.0,0.0,6.0,6.0,4.0,3,2,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Black W.,Gambill J.M.,151,57,7.0,6.0,6.0,1.0,6.0,4.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Clavet F.,Hrbaty D.,39,22,3.0,6.0,6.0,1.0,6.0,4.0,7.0,6.0,,,3,1,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Clement A.,van Lottum J.,54,66,7.0,6.0,6.0,4.0,,,,,,,2,0,Retired
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Corretja A.,Sargsian S.,30,51,7.0,6.0,6.0,4.0,6.0,4.0,,,,,3,0,Completed
ATP,2000,6,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5,Dosedel S.,Boutter J.,64,155,7.0,6.0,5.0,7.0,6.0,3.0,7.0,5.0,,,3,1,Completed
