Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL
ATP,2001,6,Melbourne,Australian Open,2001-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Agassi A.,Vanek J.,6,78,6.0,0.0,7.0,5.0,6.0,3.0,,,,,3,0,Completed,,,,,,,,
ATP,2001,6,Melbourne,Australian Open,2001-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Arthurs W.,Schukin Y.,82,211,6.0,3.0,7.0,5.0,4.0,6.0,6.0,2.0,,,3,1,Completed,,,,,,,,
ATP,2001,6,Melbourne,Australian Open,2001-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Boutter J.,Zimonjic N.,67,284,6.0,1.0,6.0,4.0,6.0,3.0,,,,,3,0,Completed,,,,,,,,
ATP,2001,6,Melbourne,Australian Open,2001-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Burgsmuller L.,Elsner D.,185,99,5.0,7.0,6.0,7.0,6.0,3.0,7.0,5.0,6.0,4.0,3,2,Completed,,,,,,,,
ATP,2001,6,Melbourne,Australian Open,2001-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Calatrava A.,Stoliarov A.,50,97,6.0,3.0,6.0,2.0,3.0,6.0,6.0,4.0,,,3,1,Completed,,,,,,,,
ATP,2001,6,Melbourne,Australian Open,2001-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Calleri A.,Stoltenberg J.,63,77,7.0,6.0,6.0,4.0,7.0,6.0,,,,,3,0,Completed,,,,,,,,
ATP,2001,6,Melbourne,Australian Open,2001-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Canas G.,Bastl G.,228,108,6.0,4.0,6.0,4.0,6.0,3.0,,,,,3,0,Completed,,,,,,,,
ATP,2001,6,Melbourne,Australian Open,2001-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Chela J.I.,Suzuki T.,64,159,6.0,3.0,6.0,1.0,6.0,7.0,7.0,6.0,,,3,1,Completed,,,,,,,,
ATP,2001,6,Melbourne,Australian Open,2001-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Clavet F.,Hantschk M.,40,93,6.0,2.0,6.0,0.0,6.0,2.0,,,,,3,0,Completed,,,,,,,,
ATP,2001,6,Melbourne,Australian Open,2001-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Clement A.,Robredo T.,18,111,6.0,3.0,6.0,2.0,7.0,5.0,,,,,3,0,Completed,,,,,,,,
