Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL
ATP,2003,6,Melbourne,Australian Open,2003-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Agassi A.,Vahaly B.,2.0,93,7.0,5.0,6.0,3.0,6.0,3.0,,,,,3.0,0.0,Completed,1.063,7.5,,,1.02,6.0,,,1.02,7.5
ATP,2003,6,Melbourne,Australian Open,2003-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Ancic M.,Waske A.,88.0,120,6.0,3.0,6.0,4.0,7.0,6.0,,,,,3.0,0.0,Completed,1.727,2.0,,,1.6,1.9,,,1.6,1.95
ATP,2003,6,Melbourne,Australian Open,2003-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Arthurs W.,Daniel M.,52.0,241,6.0,7.0,3.0,6.0,7.0,6.0,6.0,4.0,6.0,4.0,3.0,2.0,Completed,1.364,3.0,,,1.35,2.5,,,1.46,2.2
ATP,2003,6,Melbourne,Australian Open,2003-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Canas G.,Voltchkov V.,18.0,71,6.0,3.0,7.0,5.0,6.0,3.0,,,,,3.0,0.0,Completed,1.25,3.75,,,1.25,3.0,,,1.19,3.45
ATP,2003,6,Melbourne,Australian Open,2003-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Coria G.,Clavet F.,45.0,118,6.0,4.0,7.0,5.0,6.0,1.0,,,,,3.0,0.0,Completed,1.25,3.4,,,1.2,3.3,,,1.16,3.85
ATP,2003,6,Melbourne,Australian Open,2003-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Costa A.,Prinosil D.,8.0,213,6.0,4.0,6.0,1.0,3.0,6.0,7.0,6.0,,,3.0,1.0,Completed,1.333,3.25,,,1.2,3.3,,,1.18,3.5
ATP,2003,6,Melbourne,Australian Open,2003-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Draper S.,Kim A.,139.0,116,7.0,5.0,6.0,3.0,3.0,6.0,6.0,3.0,,,3.0,1.0,Completed,1.667,2.1,,,1.6,1.9,,,1.5,2.15
ATP,2003,6,Melbourne,Australian Open,2003-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Escude N.,Motomura G.,37.0,233,6.0,1.0,2.0,6.0,6.0,3.0,6.0,2.0,,,3.0,1.0,Completed,1.083,7.0,,,1.1,4.5,,,1.05,6.1
ATP,2003,6,Melbourne,Australian Open,2003-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Ferreira W.,Robredo T.,39.0,32,5.0,7.0,6.0,0.0,6.0,3.0,6.0,4.0,,,3.0,1.0,Completed,1.615,2.2,,,1.55,2.0,,,1.48,2.17
ATP,2003,6,Melbourne,Australian Open,2003-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Ferrero J.C.,Squillari F.,4.0,79,7.0,6.0,3.0,6.0,6.0,2.0,6.0,3.0,,,3.0,1.0,Completed,1.2,4.333,,,1.15,3.8,,,1.03,7.0
ATP,2003,6,Melbourne,Australian Open,2003-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Fish M.,Johansson J.,77.0,221,6.0,3.0,7.0,5.0,6.0,2.0,,,,,3.0,0.0,Completed,1.333,3.25,,,1.35,2.5,,,1.3,2.85
ATP,2003,6,Melbourne,Australian Open,2003-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Furlan R.,Pavel A.,184.0,25,4.0,1.0,,,,,,,,,0.0,0.0,Retired,3.25,1.333,,,2.5,1.35,,,3.0,1.25
ATP,2003,6,Melbourne,Australian Open,2003-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Gambill J.M.,Llodra M.,33.0,110,6.0,2.0,7.0,5.0,6.0,7.0,2.0,6.0,6.0,2.0,3.0,2.0,Completed,1.25,3.5,,,1.2,3.3,,,1.09,4.7
