Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Davydenko N.,Clement A.,52.0,31.0,6.0,7.0,4.0,6.0,6,4.0,6.0,1.0,6.0,2.0,3.0,2.0,Completed,3.75,1.25,3.75,1.25,3.98,1.22,,,4.15,1.274
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Guccione C.,Jones A.,395.0,276.0,6.0,3.0,7.0,6.0,6,2.0,,,,,3.0,0.0,Completed,1.44,2.62,1.4,2.85,1.42,2.75,,,1.444,2.95
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Ginepri R.,Horna L.,33.0,61.0,7.0,5.0,6.0,3.0,6,3.0,,,,,3.0,0.0,Completed,1.2,4.333,1.18,4.65,1.14,5.19,,,1.213,4.95
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Chela J.I.,Labadze I.,40.0,70.0,6.0,4.0,6.0,3.0,3,6.0,6.0,3.0,,,3.0,1.0,Completed,1.333,3.25,,,1.28,3.46,,,1.308,3.75
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Beck K.,Koubek S.,63.0,92.0,6.0,4.0,6.0,0.0,2,6.0,6.0,4.0,,,3.0,1.0,Completed,2.0,1.727,1.9,1.85,1.8,1.95,,,1.877,1.98
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Patience O.,Andreev I.,171.0,79.0,4.0,6.0,4.0,6.0,7,6.0,6.0,1.0,6.0,2.0,3.0,2.0,Completed,2.75,1.4,3.0,1.36,3.35,1.3,,,3.3,1.37
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Ljubicic I.,Tursunov D.,36.0,98.0,7.0,6.0,6.0,4.0,5,7.0,6.0,2.0,,,3.0,1.0,Completed,1.286,3.5,1.28,3.5,1.25,3.3,,,1.323,3.65
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Lapentti N.,Hernandez O.,55.0,89.0,6.0,1.0,6.0,3.0,6,1.0,,,,,3.0,0.0,Completed,1.222,4.0,1.22,4.1,1.17,4.67,,,1.25,4.35
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Golmard J.,Portas A.,310.0,83.0,7.0,6.0,6.0,4.0,6,1.0,,,,,3.0,0.0,Completed,1.286,3.5,1.23,4.0,1.25,3.75,,,1.253,4.35
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Soderling R.,Schuettler R.,57.0,6.0,4.0,6.0,4.0,6.0,7,5.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed,3.25,1.333,3.5,1.28,3.81,1.24,,,3.5,1.345
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Kuerten G.,van Lottum J.,19.0,94.0,5.0,7.0,6.0,0.0,6,1.0,2.0,6.0,8.0,6.0,3.0,2.0,Completed,1.2,4.333,1.2,4.25,1.25,3.75,,,1.241,4.55
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Dent T.,Verdasco F.,28.0,111.0,6.0,2.0,6.0,1.0,2,1.0,,,,,2.0,0.0,Retired,1.167,4.5,1.18,4.65,1.17,4.67,,,1.215,4.95
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Srichaphan P.,Acasuso J.,15.0,101.0,7.0,5.0,6.0,4.0,6,0.0,,,,,3.0,0.0,Completed,1.071,7.5,1.08,7.0,1.05,7.25,,,1.08,9.75
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Schalken S.,Carlsen K.,17.0,110.0,7.0,5.0,6.0,3.0,6,1.0,,,,,3.0,0.0,Completed,1.25,3.75,1.28,3.5,1.35,3.1,,,1.333,3.55
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Enqvist T.,Spadea V.,96.0,30.0,4.0,6.0,6.0,4.0,6,4.0,7.0,6.0,,,3.0,1.0,Completed,2.5,1.5,2.5,1.5,2.45,1.5,,,2.72,1.513
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Gaudio G.,Robredo T.,34.0,20.0,6.0,3.0,6.0,2.0,7,6.0,,,,,3.0,0.0,Completed,2.75,1.4,2.85,1.4,2.75,1.42,,,3.05,1.435
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Grosjean S.,Youzhny M.,10.0,47.0,6.0,1.0,6.0,4.0,7,5.0,,,,,3.0,0.0,Completed,1.333,3.25,1.3,3.4,1.25,3.6,,,1.313,3.75
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Escude N.,Lee H.T.,59.0,69.0,6.0,3.0,7.0,6.0,6,2.0,,,,,3.0,0.0,Completed,1.167,4.5,1.18,4.6,1.18,4.56,,,1.235,4.6
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Melzer J.,Behrend T.,78.0,103.0,6.0,1.0,6.0,1.0,6,2.0,,,,,3.0,0.0,Completed,1.533,2.375,1.55,2.4,1.48,2.53,,,1.575,2.58
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Karlovic I.,Fish M.,72.0,21.0,7.0,6.0,7.0,6.0,7,6.0,,,,,3.0,0.0,Completed,3.25,1.333,3.5,1.28,3.46,1.28,,,3.55,1.339
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Gambill J.M.,Carraz G.,62.0,60.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Retired,,,,,1.85,1.85,,,2.04,1.833
ATP,2004,6,Melbourne,Australian Open,2004-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Martin T.,Dupuis A.,66.0,85.0,4.0,6.0,4.0,6.0,7,6.0,7.0,6.0,6.0,3.0,3.0,2.0,Completed,,,1.4,2.85,1.35,3.1,,,1.408,3.1
