Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,PSW,PSL,UBW,UBL
ATP,2007,6,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Roddick A.,Tsonga J.W.,7.0,212.0,2415.0,186.0,6.0,7.0,7.0,6.0,6.0,3.0,6.0,3.0,,,3.0,1.0,Completed,1.01,15.0,1.01,16.0,1.02,11.5,1.018,36.0,1.02,18.0
ATP,2007,6,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Arthurs W.,Koubek S.,163.0,63.0,258.0,605.0,1.0,6.0,6.0,7.0,7.0,6.0,6.0,2.0,6.0,3.0,3.0,2.0,Completed,3.0,1.36,4.0,1.25,2.92,1.37,3.8,1.323,3.1,1.35
ATP,2007,6,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Gasquet R.,Volandri F.,17.0,45.0,1435.0,809.0,6.0,4.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,1.04,9.0,1.05,10.0,1.07,7.19,1.065,13.5,1.08,7.0
ATP,2007,6,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Ancic M.,Soeda G.,10.0,188.0,2000.0,214.0,6.0,4.0,6.0,3.0,6.0,2.0,,,,,3.0,0.0,Completed,1.04,9.0,1.05,10.0,1.07,7.19,1.05,16.0,1.06,9.0
ATP,2007,6,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Fleishman Z.,Calleri A.,170.0,26.0,240.0,1023.0,7.0,5.0,4.0,6.0,6.0,3.0,6.0,4.0,,,3.0,1.0,Completed,4.0,1.22,4.0,1.25,,,4.23,1.283,3.8,1.25
ATP,2007,6,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Ferrero J.C.,Hajek J.,24.0,77.0,1080.0,509.0,3.0,0.0,,,,,,,,,0.0,0.0,Retired,1.11,6.0,1.14,5.65,1.08,6.92,1.15,7.07,,
ATP,2007,6,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Delic A.,Simon G.,95.0,48.0,438.0,751.0,6.0,3.0,6.0,0.0,6.0,2.0,,,,,3.0,0.0,Completed,2.1,1.66,2.25,1.65,2.12,1.67,2.13,1.813,2.0,1.77
ATP,2007,6,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Gicquel M.,Jones A.,54.0,182.0,715.0,221.0,3.0,6.0,6.0,7.0,6.0,4.0,6.0,1.0,6.0,0.0,3.0,2.0,Completed,1.33,3.25,1.33,3.3,1.28,3.46,1.35,3.66,1.29,3.45
ATP,2007,6,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Udomchoke D.,Vassallo-Arguello M.,102.0,85.0,417.0,470.0,6.0,3.0,6.0,3.0,6.0,2.0,,,,,3.0,0.0,Completed,1.28,3.5,1.28,3.65,1.28,3.46,1.288,4.17,1.29,3.45
ATP,2007,6,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Garcia-Lopez G.,Johansson J.,65.0,156.0,562.0,277.0,1.0,1.0,,,,,,,,,0.0,0.0,Retired,3.75,1.25,3.65,1.28,3.2,1.32,4.1,1.294,3.2,1.33
ATP,2007,6,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Hrbaty D.,Vanek J.,22.0,103.0,1183.0,414.0,6.0,7.0,7.0,6.0,6.0,1.0,6.0,3.0,,,3.0,1.0,Completed,1.19,4.33,1.2,4.55,1.23,3.89,1.222,5.11,1.18,4.6
ATP,2007,6,Melbourne,Australian Open,2007-01-15,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Phau B.,1.0,82.0,8120.0,483.0,7.0,5.0,6.0,0.0,6.0,4.0,,,,,3.0,0.0,Completed,1.0,17.0,1.01,16.0,1.01,13.5,1.012,61.0,1.01,40.0
