Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
ATP,2008,6,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Karlovic I.,Baker J.,24.0,217.0,1360.0,192.0,6.0,4.0,6.0,4.0,6.0,7.0,6.0,4.0,,,3.0,1.0,Completed,1.11,6.0,1.13,5.5,1.125,5.5,1.183,5.95,1.13,5.6
ATP,2008,6,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Capdeville P.,Klein B.,100.0,618.0,428.0,32.0,6.0,4.0,7.0,5.0,6.0,4.0,,,,,3.0,0.0,Completed,1.33,3.25,1.25,3.15,1.364,3.0,1.366,3.53,1.35,3.1
ATP,2008,6,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Schuettler R.,Clement A.,92.0,59.0,453.0,610.0,6.0,4.0,6.0,2.0,6.0,7.0,6.0,4.0,,,3.0,1.0,Completed,2.0,1.72,1.9,1.85,2.0,1.727,1.98,1.926,2.0,1.78
ATP,2008,6,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Fish M.,Pashanski B.,43.0,95.0,685.0,441.0,6.0,2.0,6.0,3.0,3.0,6.0,6.0,3.0,,,3.0,1.0,Completed,1.1,6.5,1.1,6.25,1.167,4.5,1.163,6.55,1.12,5.85
ATP,2008,6,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Mathieu P.H.,Hanescu V.,25.0,79.0,1320.0,517.0,6.0,1.0,7.0,6.0,6.0,2.0,,,,,3.0,0.0,Completed,1.16,4.5,1.17,4.67,1.2,4.333,1.22,5.15,1.2,4.3
ATP,2008,6,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Levine J.,Vassallo-Arguello M.,170.0,77.0,242.0,520.0,6.0,1.0,7.0,5.0,6.0,1.0,,,,,3.0,0.0,Completed,1.38,2.87,1.45,2.65,1.364,3.0,1.427,3.14,1.45,2.67
ATP,2008,6,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Gicquel M.,Lu Y.H.,73.0,112.0,535.0,393.0,6.0,3.0,4.0,6.0,6.0,7.0,6.0,4.0,6.0,2.0,3.0,2.0,Completed,1.5,2.5,1.5,2.45,1.571,2.25,1.585,2.61,1.57,2.34
ATP,2008,6,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Nieminen J.,Dancevic F.,26.0,74.0,1075.0,531.0,6.0,3.0,6.0,1.0,5.0,7.0,2.0,6.0,6.0,1.0,3.0,2.0,Completed,1.2,4.33,1.17,4.67,1.222,4.0,1.217,5.21,1.22,4.1
ATP,2008,6,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Simon G.,Reynolds B.,33.0,113.0,955.0,392.0,4.0,6.0,6.0,4.0,6.0,2.0,6.0,7.0,6.0,4.0,3.0,2.0,Completed,1.16,4.5,1.18,4.45,1.222,4.0,1.212,5.31,1.18,4.6
ATP,2008,6,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Zverev M.,12.0,85.0,1705.0,478.0,4.0,6.0,2.0,6.0,7.0,6.0,6.0,4.0,7.0,5.0,3.0,2.0,Completed,1.16,4.5,1.17,4.67,1.222,4.0,1.227,5.0,1.14,5.35
ATP,2008,6,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Sela D.,Slanar M.,66.0,277.0,573.0,138.0,6.0,2.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,1.25,3.75,1.25,3.75,1.25,3.75,1.25,4.6,1.23,4.0
