Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Ferrer D.,Gremelmayr D.,12,80.0,3390,1042.0,6.0,1.0,6.0,7.0,6.0,1.0,6.0,7.0,6.0,4.0,3.0,2.0,Completed,1.1,6.5,1.1,6.75,1.143,5.0,1.1,6.5,1.12,6.0
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Ginepri R.,21,47.0,2400,1490.0,6.0,4.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,1.36,3.0,1.45,2.8,1.364,3.0,1.364,3.0,1.37,3.0
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Mayer F.,Ouahab L.,450,193.0,127,430.0,6.0,2.0,6.0,1.0,6.0,2.0,,,,,3.0,0.0,Completed,1.25,3.75,1.25,3.9,1.333,3.25,1.286,3.25,1.3,3.4
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Hrbaty D.,Isner J.,251,139.0,302,645.0,7.0,6.0,2.0,6.0,6.0,2.0,7.0,5.0,,,3.0,1.0,Completed,1.57,2.25,1.6,2.4,1.571,2.25,1.533,2.375,1.6,2.28
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Soderling R.,Kendrick R.,17,96.0,2650,956.0,5.0,7.0,6.0,4.0,6.0,4.0,7.0,5.0,,,3.0,1.0,Completed,1.06,8.0,1.1,6.75,1.1,6.5,1.1,6.5,1.09,7.0
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Dabul B.,Petzschner P.,100,63.0,940,1232.0,6.0,1.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,3.75,1.25,3.5,1.36,3.75,1.25,3.5,1.286,3.8,1.25
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Roddick A.,Rehnquist B.,9,191.0,3940,442.0,6.0,0.0,6.0,2.0,6.0,2.0,,,,,3.0,0.0,Completed,1.0,21.0,1.02,13.5,1.013,15.0,1.02,12.0,1.01,20.0
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Malisse X.,Llodra M.,195,56.0,428,1350.0,7.0,6.0,6.0,1.0,6.0,1.0,,,,,3.0,0.0,Completed,1.66,2.1,1.65,2.28,1.833,1.833,1.727,2.0,1.67,2.15
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Muller G.,Lopez F.,87,28.0,988,2010.0,6.0,3.0,7.0,6.0,4.0,6.0,4.0,6.0,7.0,6.0,3.0,2.0,Completed,2.62,1.44,2.55,1.5,2.375,1.533,2.5,1.533,2.6,1.47
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Tomic B.,Starace P.,768,73.0,42,1128.0,7.0,6.0,1.0,6.0,7.0,6.0,7.0,6.0,,,3.0,1.0,Completed,3.4,1.3,3.5,1.3,3.75,1.25,4.0,1.2,3.7,1.26
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Reynolds B.,22,69.0,2390,1146.0,6.0,2.0,7.0,5.0,6.0,1.0,,,,,3.0,0.0,Completed,1.3,3.4,1.28,3.55,1.286,3.5,1.286,3.5,1.28,3.55
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Baghdatis M.,Benneteau J.,97,48.0,950,1478.0,6.0,3.0,7.0,6.0,6.0,2.0,,,,,3.0,0.0,Completed,1.61,2.2,1.65,2.2,1.667,2.1,1.727,2.1,1.74,2.04
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Minar I.,16,102.0,2670,930.0,6.0,1.0,2.0,6.0,7.0,5.0,7.0,6.0,,,3.0,1.0,Completed,1.16,4.5,1.19,4.75,1.167,4.5,1.2,4.5,1.19,4.4
ATP,2009,6,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Del Potro J.M.,Zverev M.,6,81.0,4060,1040.0,6.0,3.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,1.01,13.0,1.04,12.0,1.05,8.5,1.03,11.0,1.03,12.0
