Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Dodig I.,Karlovic I.,34,75.0,1190,667.0,7.0,6.0,6.0,3.0,7.0,6.0,,,,,3.0,0.0,Completed,1.53,2.37,1.55,2.4,1.53,2.38,1.51,2.76,1.57,2.38,1.6,2.8,1.5,2.55
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Nieminen J.,Sela D.,39,68.0,1090,706.0,3.0,6.0,7.0,6.0,6.0,7.0,6.0,3.0,6.0,3.0,3.0,2.0,Completed,1.44,2.62,1.5,2.5,1.5,2.5,1.54,2.66,1.5,2.63,1.55,2.74,1.49,2.57
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Youzhny M.,Struff J.L.,15,105.0,2145,527.0,6.0,1.0,6.0,4.0,6.0,2.0,,,,,3.0,0.0,Completed,1.22,4.0,1.28,3.5,1.22,4.0,1.29,4.06,1.22,4.0,1.29,4.5,1.25,3.84
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Falla A.,Kukushkin M.,87,66.0,612,721.0,6.0,7.0,6.0,2.0,6.0,2.0,6.0,3.0,,,3.0,1.0,Completed,1.66,2.1,1.75,2.05,1.67,2.1,1.96,1.94,1.73,2.1,1.98,2.15,1.81,1.96
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Querrey S.,Giraldo S.,51,69.0,915,703.0,6.0,3.0,6.0,2.0,3.0,6.0,7.0,6.0,,,3.0,1.0,Completed,1.36,3.0,1.38,3.0,1.4,2.75,1.45,2.99,1.4,2.88,1.45,3.65,1.39,2.93
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,Johnson S.,71,147.0,692,378.0,3.0,6.0,6.0,3.0,6.0,0.0,5.0,7.0,6.0,4.0,3.0,2.0,Completed,2.2,1.61,2.15,1.68,2.1,1.67,2.17,1.78,2.1,1.73,2.25,1.81,2.1,1.71
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Golubev A.,8,85.0,3890,620.0,6.0,4.0,4.0,1.0,,,,,,,1.0,0.0,Retired,1.04,13.0,1.05,9.0,1.04,11.0,1.05,14.12,1.04,10.0,1.05,17.0,1.04,11.17
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Dzumhur D.,Hajek J.,188,103.0,272,540.0,6.0,4.0,6.0,2.0,6.0,1.0,,,,,3.0,0.0,Completed,1.5,2.5,1.52,2.45,1.53,2.38,1.49,2.81,1.57,2.38,1.58,2.81,1.5,2.53
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,Sousa J.,136,50.0,422,925.0,5.0,7.0,6.0,4.0,6.0,3.0,7.0,6.0,,,3.0,1.0,Completed,2.0,1.72,2.05,1.75,2.0,1.73,,,2.0,1.8,2.18,1.83,2.03,1.76
ATP,2014,6,Melbourne,Australian Open,2014-01-13,Grand Slam,Outdoor,Hard,1st Round,5,Mayer F.,Kudla D.,37,113.0,1110,497.0,6.0,4.0,6.0,2.0,6.0,4.0,,,,,3.0,0.0,Completed,1.28,3.5,1.28,3.5,1.3,3.4,1.36,3.45,1.33,3.25,1.36,3.65,1.31,3.38
