Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
ATP,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Basic M.,Haase R.,138.0,65.0,432.0,762.0,7.0,6.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,3.0,1.36,2.8,1.42,3.0,1.4,2.99,1.45,3.1,1.45,2.9,1.4
ATP,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Goffin D.,Stakhovsky S.,16.0,60.0,1835.0,780.0,3.0,6.0,6.0,3.0,6.0,4.0,6.0,4.0,,,3.0,1.0,Completed,1.12,6.0,1.11,5.75,1.12,6.0,1.16,6.1,1.16,7.0,1.13,5.86
ATP,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Dzumhur D.,Edmund K.,81.0,88.0,661.0,625.0,1.0,6.0,7.0,6.0,4.0,6.0,6.0,3.0,6.0,1.0,3.0,2.0,Completed,3.75,1.25,3.75,1.25,3.75,1.29,3.69,1.33,3.9,1.33,3.62,1.28
ATP,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Brands D.,Estrella Burgos V.,151.0,55.0,393.0,797.0,6.0,4.0,7.0,6.0,4.0,6.0,6.0,1.0,,,3.0,1.0,Completed,1.4,2.75,1.38,3.0,1.4,3.0,1.37,3.39,1.45,3.39,1.38,3.03
ATP,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Kohlschreiber P.,7.0,34.0,4235.0,1185.0,6.0,4.0,6.0,3.0,6.0,3.0,,,,,3.0,0.0,Completed,1.2,4.33,1.22,4.0,1.22,4.33,1.27,4.22,1.27,4.5,1.23,4.15
ATP,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Krajicek A.,Wu D.,103.0,243.0,571.0,218.0,6.0,4.0,6.0,1.0,6.0,3.0,,,,,3.0,0.0,Completed,1.66,2.1,1.7,2.1,1.73,2.1,1.8,2.13,1.8,2.2,1.74,2.07
ATP,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,Mayer L.,20.0,36.0,1645.0,1105.0,6.0,2.0,7.0,6.0,4.0,6.0,7.0,6.0,,,3.0,1.0,Completed,1.5,2.5,1.5,2.45,1.53,2.5,1.65,2.38,1.65,2.5,1.57,2.37
ATP,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Delbonis F.,Karlovic I.,53.0,24.0,815.0,1485.0,7.0,6.0,6.0,4.0,2.0,1.0,,,,,2.0,0.0,Retired,4.0,1.22,3.75,1.25,4.0,1.25,3.79,1.31,4.0,1.31,3.74,1.27
ATP,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,De Bakker T.,13.0,98.0,2405.0,607.0,6.0,7.0,7.0,5.0,6.0,2.0,6.0,4.0,,,3.0,1.0,Completed,1.07,9.0,1.07,8.0,1.08,8.0,1.09,9.65,1.09,9.65,1.07,8.22
ATP,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Donskoy E.,Cervantes I.,91.0,72.0,620.0,703.0,6.0,4.0,3.0,6.0,6.0,1.0,6.0,4.0,,,3.0,1.0,Completed,1.4,2.75,1.58,2.35,1.57,2.38,1.49,2.84,1.61,2.84,1.55,2.43
ATP,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Bhambri Y.,6.0,96.0,4560.0,610.0,7.0,5.0,6.0,1.0,6.0,2.0,,,,,3.0,0.0,Completed,1.005,34.0,1.01,13.0,1.01,26.0,1.01,34.0,1.02,41.0,1.01,20.75
ATP,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Herbert P.H.,Andujar P.,167.0,62.0,313.0,770.0,5.0,7.0,6.0,4.0,7.0,6.0,6.0,2.0,,,3.0,1.0,Completed,1.5,2.5,1.45,2.6,1.44,2.75,1.56,2.59,1.57,2.75,1.5,2.54
ATP,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Almagro N.,Benneteau J.,73.0,696.0,694.0,38.0,6.0,3.0,6.0,7.0,6.0,3.0,7.0,6.0,,,3.0,1.0,Completed,1.22,4.0,1.25,3.75,1.29,3.75,1.29,3.97,1.29,4.1,1.25,3.89
ATP,2016,6,Melbourne,Australian Open,2016-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Garcia-Lopez G.,Mathieu P.H.,27.0,97.0,1430.0,609.0,6.0,4.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,1.4,2.75,1.38,3.0,1.4,3.0,1.48,2.86,1.48,3.25,1.4,2.88
