Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Shapovalov D.,Djere L.,14,51.0,2593,1156.0,7.0,6.0,6.0,4.0,3.0,6.0,7.0,6.0,,,3.0,1.0,Completed,1.1,7.0,1.07,10.98,1.14,10.98,1.1,7.09
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Kwon S.W.,Rune H.,54,99.0,1085,742.0,3.0,6.0,6.0,4.0,3.0,6.0,6.0,3.0,6.0,2.0,3.0,2.0,Completed,1.66,2.2,1.64,2.42,1.78,2.42,1.68,2.18
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Lajovic D.,Fucsovics M.,39,35.0,1346,1457.0,6.0,3.0,4.0,6.0,6.0,1.0,6.0,7.0,6.0,1.0,3.0,2.0,Completed,3.2,1.36,3.43,1.36,3.45,1.42,3.2,1.35
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Vukic A.,Harris L.,144,33.0,477,1473.0,4.0,6.0,6.0,3.0,7.0,5.0,7.0,6.0,,,3.0,1.0,Completed,3.5,1.3,3.47,1.36,3.75,1.36,3.41,1.31
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Garin C.,Bagnis F.,19,72.0,2375,868.0,6.0,3.0,6.0,4.0,5.0,7.0,6.0,7.0,6.0,3.0,3.0,2.0,Completed,1.5,2.62,1.52,2.75,1.57,2.88,1.49,2.6
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Martinez P.,Delbonis F.,61,38.0,1001,1347.0,7.0,6.0,3.0,6.0,6.0,4.0,6.0,2.0,,,3.0,1.0,Completed,1.3,3.5,1.3,3.89,1.31,3.91,1.28,3.64
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Bonzi B.,Gojowczyk P.,63,82.0,979,802.0,6.0,3.0,6.0,3.0,6.0,3.0,,,,,3.0,0.0,Completed,1.36,3.2,1.36,3.47,1.44,3.52,1.35,3.19
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Albot R.,Nishioka Y.,124,119.0,587,610.0,6.0,3.0,6.0,4.0,4.0,6.0,6.0,2.0,,,3.0,1.0,Completed,2.0,1.8,1.93,1.97,2.2,1.97,2.0,1.81
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Alcaraz C.,Tabilo A.,31,135.0,1609,518.0,6.0,2.0,6.0,2.0,6.0,3.0,,,,,3.0,0.0,Completed,1.16,5.0,1.16,6.3,1.24,6.3,1.17,5.2
ATP,2022,5,Melbourne,Australian Open,2022-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Kozlov S.,Vesely J.,169,78.0,401,824.0,7.0,5.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,2.62,1.5,2.66,1.54,2.73,1.58,2.58,1.5
