Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
ATP,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Etcheverry T.,Kecmanovic M.,62.0,60.0,895.0,910.0,6,2,3,6.0,4,6,6,3,6,4,3.0,2.0,Completed,1.73,2.1,,,1.75,2.16,1.71,2.11,1.8,2.24
ATP,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Fery A.,Cobolli F.,186.0,22.0,316.0,1955.0,7,6,6,4.0,6,1,,,,,3.0,0.0,Completed,3.2,1.36,,,3.2,1.43,2.89,1.4,3.4,1.4
ATP,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Moutet C.,Schoolkate T.,37.0,98.0,1383.0,641.0,6,4,7,6.0,6,3,,,,,3.0,0.0,Completed,1.33,3.4,,,1.36,3.5,1.34,3.22,1.39,3.5
ATP,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Zverev A.,Diallo G.,3.0,41.0,5105.0,1215.0,6,7,6,1.0,6,4,6,2,,,3.0,1.0,Completed,1.13,6.0,,,1.14,6.5,1.13,5.88,1.16,6.8
ATP,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Cerundolo F.,Zhang Zh.,21.0,368.0,2035.0,130.0,6,3,7,6.0,6,3,,,,,3.0,0.0,Completed,1.4,3.0,,,1.43,3.0,1.41,2.83,1.46,3.1
ATP,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Comesana F.,Kypson P.,68.0,116.0,829.0,527.0,6,2,6,3.0,3,6,6,3,,,3.0,1.0,Completed,1.57,2.38,,,1.62,2.38,1.59,2.3,1.67,2.46
ATP,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Nava E.,Jacquet K.,89.0,128.0,683.0,477.0,6,2,7,5.0,6,7,4,6,7,6,3.0,2.0,Completed,1.57,2.38,,,1.64,2.4,1.58,2.32,1.61,2.58
ATP,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Dzumhur D.,Draxl L.,66.0,145.0,837.0,429.0,7,5,6,0.0,6,4,,,,,3.0,0.0,Completed,1.73,2.1,,,1.8,2.1,1.74,2.05,1.82,2.18
ATP,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Zheng M.,Korda S.,174.0,53.0,337.0,975.0,6,4,6,4.0,3,6,6,7,6,3,3.0,2.0,Completed,3.5,1.3,,,3.8,1.33,3.45,1.3,3.85,1.34
ATP,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Faria J.,Blockx A.,151.0,96.0,413.0,653.0,6,3,3,6.0,6,3,6,4,,,3.0,1.0,Completed,2.38,1.57,,,2.65,1.62,2.4,1.55,2.6,1.61
ATP,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Fucsovics M.,Ugo Carabelli C.,54.0,49.0,967.0,1028.0,7,6,6,1.0,6,2,,,,,3.0,0.0,Completed,1.2,4.5,,,1.23,4.5,1.22,4.19,1.24,4.9
ATP,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Tiafoe F.,Kubler J.,34.0,194.0,1500.0,305.0,7,6,6,3.0,6,2,,,,,3.0,0.0,Completed,1.29,3.75,,,1.3,4.0,1.29,3.53,1.34,3.85
ATP,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Hanfmann Y.,Svajda Z.,102.0,143.0,611.0,431.0,7,5,4,6.0,6,4,7,6,,,3.0,1.0,Completed,2.3,1.62,,,2.4,1.64,2.31,1.58,2.54,1.64
ATP,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Norrie C.,Bonzi B.,27.0,106.0,1553.0,566.0,6,0,6,7.0,4,6,6,3,6,4,3.0,2.0,Completed,1.3,3.5,,,1.3,4.0,1.28,3.54,1.32,4.0
ATP,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Bublik A.,Brooksby J.,10.0,48.0,3065.0,1042.0,6,4,6,4.0,6,4,,,,,3.0,0.0,Completed,1.29,3.75,,,1.29,3.9,1.27,3.73,1.35,3.85
ATP,2026,5,Melbourne,Australian Open,2026-01-18,Grand Slam,Outdoor,Hard,1st Round,5,Alcaraz C.,Walton A.,1.0,81.0,12050.0,727.0,6,3,7,6.0,6,2,,,,,3.0,0.0,Completed,1,41.0,,,1.01,41.0,1.01,24.06,1.01,55.0
ATP,2026,5,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Medjedovic H.,Navone M.,90.0,74.0,681.0,760.0,6,2,6,7.0,6,4,6,2,,,3.0,1.0,Completed,1.36,3.2,,,1.4,3.2,1.37,3.0,1.44,3.25
ATP,2026,5,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Shevchenko A.,Ymer E.,97.0,175.0,650.0,337.0,3,6,7,5.0,6,4,6,1,,,3.0,1.0,Completed,1.44,2.75,,,1.5,2.9,1.44,2.72,1.53,2.84
ATP,2026,5,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Borges N.,Auger-Aliassime F.,46.0,8.0,1070.0,3990.0,3,6,6,4.0,6,4,0,0,,,2.0,1.0,Retired,3.75,1.29,,,3.75,1.33,3.61,1.28,4.5,1.27
ATP,2026,5,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Halys Q.,Tabilo A.,83.0,79.0,725.0,737.0,6,2,6,2.0,7,6,,,,,3.0,0.0,Completed,1.8,2.0,,,1.85,2.3,1.77,2.03,1.9,2.1
ATP,2026,5,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Medvedev D.,De Jong J.,12.0,73.0,2910.0,763.0,7,5,6,2.0,7,6,,,,,3.0,0.0,Completed,1.04,13.0,,,1.06,13.0,1.05,9.88,1.05,17.5
ATP,2026,5,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Marozsan F.,Rinderknech A.,47.0,28.0,1065.0,1551.0,6,3,6,4.0,6,7,6,4,,,3.0,1.0,Completed,1.8,2.0,,,1.85,2.1,1.81,1.97,1.91,2.06
ATP,2026,5,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Paul T.,Kovacevic A.,20.0,56.0,2050.0,964.0,6,4,6,3.0,6,3,,,,,3.0,0.0,Completed,1.17,5.0,,,1.2,5.75,1.17,4.81,1.2,5.5
ATP,2026,5,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Shang J.,Bautista Agut R.,318.0,91.0,165.0,670.0,6,4,6,7.0,6,4,6,0,,,3.0,1.0,Completed,1.3,3.5,,,1.32,3.8,1.29,3.48,1.33,3.9
ATP,2026,5,Melbourne,Australian Open,2026-01-19,Grand Slam,Outdoor,Hard,1st Round,5,Opelka R.,Budkov Kjaer N.,63.0,135.0,873.0,446.0,6,4,6,3.0,6,4,,,,,3.0,0.0,Completed,1.53,2.5,,,1.6,2.6,1.55,2.41,1.64,2.52
