Tour,Year,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Rezai A.,Bondarenko K.,69.0,43.0,449.0,643.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,1.44,2.62,1.48,2.53,1.4,2.75,1.654,2.43,1.47,2.6
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Gallovits E.,Dubois S.,76.0,105.0,412.0,334.0,7.0,6.0,6.0,3.0,,,2.0,0.0,Completed,1.61,2.2,1.5,2.45,1.571,2.25,1.775,2.19,1.6,2.3
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Williams S.,Gajdosova J.,7.0,145.0,2772.0,243.0,6.0,3.0,6.0,3.0,,,2.0,0.0,Completed,1.03,11.0,1.03,10.5,1.03,10.0,1.025,28.5,1.01,25.0
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Yuan M.,Ivanova E.,121.0,210.0,291.0,139.0,4.0,6.0,6.0,4.0,6.0,2.0,2.0,1.0,Completed,1.4,2.75,,,1.5,2.5,1.459,2.98,1.44,2.7
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Jankovic J.,Paszek T.,4.0,39.0,3390.0,768.0,2.0,6.0,6.0,2.0,12.0,10.0,2.0,1.0,Completed,1.2,4.33,1.21,4.06,1.2,4.333,1.249,4.62,1.24,3.9
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Henin J.,Nakamura A.,1.0,73.0,6430.0,424.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.005,17.0,1.01,13.5,1.01,17.0,1.01,71.0,1.01,25.0
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Moore J.,Ditty J.,376.0,101.0,55.0,343.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,4.0,1.22,3.9,1.25,3.75,1.25,4.95,1.23,3.8,1.25
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Kerber A.,Ani M.,89.0,100.0,378.0,344.0,0.0,6.0,6.0,3.0,6.0,2.0,2.0,1.0,Completed,2.0,1.72,1.91,1.83,2.0,1.727,2.05,1.87,1.88,1.88
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Poutchkova O.,Adamczak M.,97.0,149.0,353.0,229.0,6.0,4.0,6.0,0.0,,,2.0,0.0,Completed,1.5,2.5,1.6,2.25,1.571,2.25,1.606,2.55,1.6,2.28
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Azarenka V.,Amanmuradova A.,25.0,95.0,1026.0,359.0,6.0,2.0,7.0,5.0,,,2.0,0.0,Completed,1.1,6.5,1.1,6.25,1.143,5.0,1.083,11.0,1.12,5.85
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Golovin T.,Cohen Aloro S.,13.0,380.0,1882.0,53.0,6.0,1.0,4.0,6.0,6.0,3.0,2.0,1.0,Completed,1.03,11.0,1.03,10.5,1.05,8.5,1.033,23.5,1.03,12.0
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Craybas J.,Chan Y.J.,98.0,68.0,348.0,456.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.9,1.8,1.95,1.8,1.833,1.833,2.05,1.87,1.86,1.9
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Davenport L.,Errani S.,51.0,65.0,545.0,464.0,6.0,2.0,3.0,6.0,7.0,5.0,2.0,1.0,Completed,1.03,11.0,1.02,11.5,1.04,9.0,1.023,32.5,1.02,15.0
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Dementieva E.,Obziler T.,11.0,81.0,1985.0,393.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.07,7.5,1.07,7.19,1.1,6.5,1.099,9.13,1.07,7.8
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Mauresmo A.,Poutchek T.,18.0,96.0,1503.0,358.0,6.0,7.0,6.0,0.0,6.0,0.0,2.0,1.0,Completed,1.05,8.5,1.03,10.5,1.071,7.5,1.069,12.58,1.06,8.5
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Shvedova Y.,Malek T.,85.0,83.0,385.0,389.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,2.0,1.72,2.05,1.75,2.0,1.727,2.28,1.725,2.0,1.77
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Vesnina E.,Vakulenko J.,55.0,31.0,519.0,907.0,6.0,4.0,1.0,6.0,6.0,4.0,2.0,1.0,Completed,2.37,1.53,2.35,1.55,2.25,1.571,2.27,1.73,2.28,1.6
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Peer S.,Voracova R.,17.0,107.0,1640.0,331.0,6.0,2.0,2.0,6.0,6.0,0.0,2.0,1.0,Completed,1.04,10.0,1.04,9.25,1.05,8.5,1.036,22.5,1.05,9.5
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Sharapova M.,Kostanic Tosic J.,5.0,102.0,2956.0,341.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.01,13.0,1.02,11.5,1.02,11.0,1.015,46.0,1.02,15.0
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Dellacqua C.,Knapp K.,78.0,50.0,398.0,579.0,4.0,6.0,6.0,3.0,8.0,6.0,2.0,1.0,Completed,1.61,2.2,1.58,2.28,1.667,2.1,1.658,2.42,1.66,2.18
WTA,2008,5,Melbourne,Australian Open,2008-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Medina Garrigues A.,Cetkovska P.,34.0,103.0,840.0,336.0,7.0,6.0,6.0,0.0,,,2.0,0.0,Completed,1.33,3.25,1.34,3.12,1.25,3.75,1.366,3.53,1.38,2.95
