Tour,Year,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL
WTA,2009,5,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Kanepi K.,Date Krumm K.,28.0,184.0,1934.0,317.0,6.0,4.0,4.0,6.0,7.0,6.0,2.0,1.0,Completed,1.16,4.5,1.17,4.67,1.2,4.333,1.2,4.0,1.23,4.0
WTA,2009,5,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Mayr P.,Schruff J.,111.0,138.0,602.0,454.0,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,2.5,1.5,2.45,1.5,2.2,1.615,2.25,1.571,2.34,1.57
WTA,2009,5,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Cornet A.,Koryttseva M.,16.0,66.0,3032.0,944.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.08,7.0,1.1,6.25,1.1,6.5,1.1,6.0,1.08,7.5
WTA,2009,5,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Ivanovic A.,Goerges J.,5.0,107.0,6732.0,636.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,1.04,10.0,1.04,9.25,1.063,8.0,1.071,8.0,1.07,8.0
WTA,2009,5,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Zvonareva V.,Rybarikova M.,7.0,50.0,5744.0,1174.0,7.0,6.0,6.0,0.0,,,2.0,0.0,Completed,1.06,8.0,1.07,7.19,1.083,7.0,1.071,7.0,1.06,9.0
WTA,2009,5,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Brianti A.,Wickmayer Y.,169.0,73.0,364.0,882.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.72,2.0,1.75,2.05,1.833,1.833,1.8,1.909,1.84,1.92
WTA,2009,5,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Petkovic A.,Woerle K.,385.0,162.0,114.0,382.0,5.0,7.0,7.0,6.0,4.0,0.0,1.0,1.0,Retired,1.9,1.8,1.85,1.9,1.833,1.833,1.8,1.909,1.94,1.82
WTA,2009,5,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Pironkova T.,Sprem K.,44.0,167.0,1256.0,368.0,6.0,0.0,6.0,4.0,,,2.0,0.0,Completed,1.5,2.5,1.55,2.35,1.533,2.375,1.533,2.375,1.54,2.4
WTA,2009,5,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Dechy N.,Kutuzova V.,69.0,147.0,908.0,428.0,6.0,3.0,6.0,0.0,,,2.0,0.0,Completed,1.53,2.37,1.55,2.35,1.533,2.375,1.533,2.375,1.64,2.2
WTA,2009,5,Melbourne,Australian Open,2009-01-19,Grand Slam,Outdoor,Hard,1st Round,3,Niculescu M.,O'Brien K.,51.0,160.0,1166.0,386.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,1.28,3.5,1.28,3.46,1.333,3.25,1.25,3.5,1.3,3.4
