Tour,Year,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL
WTA,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Goerges J.,Dushevina V.,18.0,147.0,1965.0,461.0,7.0,5.0,2.0,6.0,6.0,4.0,2.0,1.0,Completed,1.33,3.25,1.35,3.1,1.36,3.0,1.42,3.14,1.36,3.0,1.42,3.75,1.34,3.16
WTA,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Pliskova Kr.,Jones S.,106.0,183.0,654.0,340.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.66,2.1,1.75,2.05,1.67,2.1,1.91,2.0,1.73,2.1,1.91,2.25,1.72,2.05
WTA,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Sharapova M.,Puchkova O.,2.0,107.0,10045.0,646.0,6.0,0.0,6.0,0.0,,,2.0,0.0,Completed,1.01,23.0,1.02,15.0,1.02,13.0,1.02,22.73,1.02,13.0,1.03,29.0,1.02,15.99
WTA,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Li N.,Karatantcheva S.,6.0,113.0,5135.0,610.0,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,1.04,13.0,1.03,12.0,1.03,11.0,1.03,17.5,1.04,10.0,1.05,17.5,1.03,11.87
WTA,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Oprandi R.,Pironkova T.,61.0,37.0,1021.0,1380.0,4.0,6.0,7.0,5.0,6.0,2.0,2.0,1.0,Completed,2.5,1.5,2.4,1.55,2.38,1.53,2.52,1.59,2.38,1.57,2.65,1.59,2.45,1.53
WTA,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Govortsova O.,Parmentier P.,58.0,67.0,1074.0,950.0,2.0,6.0,6.0,3.0,6.0,2.0,2.0,1.0,Completed,1.53,2.37,1.65,2.2,1.62,2.2,1.61,2.47,1.73,2.1,1.73,2.55,1.61,2.26
WTA,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Cirstea S.,Vandeweghe C.,29.0,99.0,1565.0,681.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.72,2.0,1.85,1.92,1.73,2.0,1.78,2.16,1.73,2.1,1.85,2.22,1.74,2.03
WTA,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Williams V.,Voskoboeva G.,26.0,80.0,1650.0,796.0,6.0,1.0,6.0,0.0,,,2.0,0.0,Completed,1.2,4.33,1.2,4.4,1.17,4.5,1.24,4.54,1.17,5.0,1.25,5.0,1.2,4.37
WTA,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Stosur S.,Chang K.C.,9.0,86.0,4135.0,766.0,7.0,6.0,6.0,3.0,,,2.0,0.0,Completed,1.25,3.75,1.28,3.6,1.29,3.75,1.26,4.34,1.29,3.5,1.31,4.8,1.26,3.79
WTA,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Radwanska A.,Bobusic B.,4.0,307.0,7750.0,152.0,7.0,5.0,6.0,0.0,,,2.0,0.0,Completed,1.002,29.0,1.01,20.0,1.02,15.0,1.01,16.0,1.01,15.0,1.02,34.0,1.01,18.57
WTA,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Cornet A.,Erakovic M.,41.0,68.0,1325.0,940.0,7.0,5.0,6.0,7.0,10.0,8.0,2.0,1.0,Completed,2.0,1.72,2.0,1.78,2.0,1.73,2.0,1.91,2.0,1.8,2.08,1.91,1.98,1.78
WTA,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Makarova E.,Larcherde Brito M.,19.0,131.0,1881.0,537.0,6.0,2.0,7.0,5.0,,,2.0,0.0,Completed,1.12,6.0,1.16,5.0,1.14,5.0,1.15,6.38,1.17,5.0,1.18,6.38,1.15,5.25
WTA,2013,6,Melbourne,Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,3,Flipkens K.,Bratchikova N.,43.0,87.0,1268.0,748.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.16,5.0,1.2,4.4,1.22,4.0,1.21,5.04,1.2,4.5,1.22,5.5,1.19,4.52
