Tour,Year,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Barthel M.,Aiava D.,181.0,273.0,312.0,171.0,6.0,3.0,7.0,6.0,,,2.0,0.0,Completed,1.33,3.4,1.28,3.1,1.36,3.25,1.37,3.39,1.38,3.5,1.34,3.23
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Crawford S.,Davis L.,162.0,45.0,348.0,1218.0,4.0,6.0,6.0,3.0,6.0,0.0,2.0,1.0,Completed,5.0,1.16,4.5,1.14,4.5,1.2,5.22,1.2,5.5,1.24,4.71,1.18
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Muguruza G.,Erakovic M.,7.0,110.0,4420.0,582.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,1.14,5.5,1.14,4.5,1.17,5.0,1.17,5.99,1.17,6.0,1.15,5.45
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Lepchenko V.,Bertens K.,88.0,22.0,738.0,1956.0,7.0,5.0,7.0,6.0,,,2.0,0.0,Completed,2.5,1.53,2.35,1.45,2.5,1.5,2.67,1.54,2.7,1.56,2.53,1.51
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Duan Y.Y.,Sramkova R.,87.0,120.0,753.0,498.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.61,2.3,1.6,2.1,1.62,2.2,1.67,2.35,1.67,2.35,1.63,2.24
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Rogers S.,Halep S.,52.0,4.0,1089.0,5073.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,4.5,1.2,4.3,1.15,5.0,1.17,5.08,1.21,5.08,1.22,4.62,1.19
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Begu I.,Shvedova Y.,29.0,39.0,1502.0,1284.0,5.0,7.0,6.0,3.0,6.0,4.0,2.0,1.0,Completed,1.9,1.9,1.85,1.8,1.91,1.91,2.11,1.81,2.11,1.93,1.95,1.84
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Goerges J.,Siniakova K.,57.0,37.0,1040.0,1343.0,3.0,6.0,6.0,3.0,6.0,4.0,2.0,1.0,Completed,2.1,1.72,2.05,1.6,2.2,1.67,2.17,1.78,2.25,1.8,2.09,1.72
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Jankovic J.,Siegemund L.,54.0,30.0,1075.0,1502.0,6.0,1.0,1.0,6.0,6.0,4.0,2.0,1.0,Completed,1.57,2.37,1.5,2.25,1.62,2.25,1.58,2.56,1.62,2.56,1.57,2.38
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Puig M.,Tig P.M.,46.0,107.0,1215.0,598.0,6.0,0.0,6.0,1.0,,,2.0,0.0,Completed,1.2,4.5,1.17,4.0,1.2,4.33,1.22,4.85,1.23,5.0,1.2,4.48
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Riske A.,Brengle M.,42.0,69.0,1247.0,875.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,1.44,2.75,1.4,2.6,1.4,2.7,1.48,2.88,1.5,2.88,1.44,2.74
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Williams V.,Kozlova K.,17.0,101.0,2240.0,654.0,7.0,6.0,7.0,5.0,,,2.0,0.0,Completed,1.4,3.0,1.33,2.85,1.4,3.0,1.45,2.97,1.45,3.25,1.4,2.92
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Kucova K.,Mchale C.,80.0,40.0,778.0,1275.0,6.0,4.0,6.0,0.0,,,2.0,0.0,Completed,3.5,1.3,3.1,1.28,3.4,1.3,3.84,1.31,3.84,1.35,3.52,1.29
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Pliskova Kr.,Golubic V.,58.0,62.0,1007.0,991.0,6.0,3.0,2.0,6.0,6.0,4.0,2.0,1.0,Completed,1.72,2.1,1.62,2.0,1.62,2.25,1.81,2.12,1.81,2.25,1.73,2.08
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Fourlis J.,Tatishvili A.,414.0,199.0,82.0,279.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.61,2.3,1.6,2.1,1.62,2.2,1.66,2.37,1.67,2.45,1.63,2.26
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Cirstea S.,Khromacheva I.,78.0,95.0,799.0,682.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.57,2.37,1.52,2.2,1.62,2.25,1.6,2.51,1.62,2.51,1.58,2.37
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Parmentier P.,Doi M.,67.0,41.0,886.0,1270.0,7.0,5.0,7.0,5.0,,,2.0,0.0,Completed,2.2,1.66,2.1,1.58,2.1,1.73,2.28,1.71,2.34,1.73,2.22,1.65
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Vikhlyantseva N.,King V.,129.0,75.0,466.0,806.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.66,2.2,1.62,2.0,1.73,2.1,1.67,2.35,1.73,2.35,1.66,2.18
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Sevastova A.,Hibino N.,33.0,103.0,1425.0,640.0,6.0,4.0,,,,,1.0,0.0,Retired,1.44,2.75,1.4,2.5,1.44,2.62,1.48,2.86,1.53,2.86,1.44,2.72
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Zhang S.,Sasnovich A.,23.0,118.0,1885.0,501.0,6.0,0.0,6.0,3.0,,,2.0,0.0,Completed,1.4,3.0,1.33,2.85,1.44,2.75,1.44,3.04,1.44,3.2,1.38,3.0
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Vandeweghe C.,Vinci R.,35.0,19.0,1366.0,2210.0,6.0,1.0,7.0,6.0,,,2.0,0.0,Completed,1.72,2.1,1.7,1.92,1.73,2.1,1.79,2.14,1.82,2.2,1.76,2.05
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Barty A.,Beck A.,223.0,50.0,236.0,1120.0,6.0,4.0,7.0,5.0,,,2.0,0.0,Completed,1.4,3.0,1.4,2.5,1.44,2.75,1.44,3.04,1.52,3.04,1.44,2.76
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Pavlyuchenkova A.,Rodina E.,27.0,85.0,1620.0,756.0,6.0,1.0,7.0,6.0,,,2.0,0.0,Completed,1.2,4.5,1.18,3.8,1.22,4.33,1.21,5.08,1.22,5.08,1.19,4.59
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Voegele S.,Nara K.,112.0,77.0,550.0,804.0,2.0,6.0,6.0,2.0,6.0,3.0,2.0,1.0,Completed,2.1,1.72,2.05,1.62,2.1,1.73,2.18,1.77,2.25,1.77,2.12,1.7
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Svitolina E.,Voskoboeva G.,13.0,274.0,2895.0,170.0,6.0,0.0,6.0,2.0,,,2.0,0.0,Completed,1.08,8.0,1.05,6.25,1.08,7.0,1.11,8.35,1.13,10.0,1.09,7.37
WTA,2017,6,Melbourne,Australian Open,2017-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Boserup J.,Schiavone F.,119.0,100.0,498.0,659.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.66,2.2,1.62,2.0,1.67,2.1,1.71,2.27,1.73,2.3,1.67,2.17
