Tour,Year,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
WTA,2023,5,Melbourne,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Bucsa C.,Lys E.,100.0,126.0,611.0,507.0,2.0,6.0,6.0,0.0,6.0,2.0,2.0,1.0,Completed,1.8,2.0,1.99,1.89,2.01,2.05,1.92,1.89
WTA,2023,5,Melbourne,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Shnaider D.,Kucova K.,106.0,272.0,593.0,227.0,7.0,6.0,7.0,5.0,,,2.0,0.0,Completed,1.25,4.0,1.25,4.35,1.29,4.5,1.23,4.15
WTA,2023,5,Melbourne,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Collins D.,Kalinskaya A.,11.0,59.0,2388.0,948.0,7.0,5.0,5.0,7.0,6.0,4.0,2.0,1.0,Completed,1.4,3.0,1.44,2.98,1.44,3.1,1.41,2.95
WTA,2023,5,Melbourne,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Pegula J.,Cristian J.,3.0,161.0,5000.0,388.0,6.0,0.0,6.0,1.0,,,2.0,0.0,Completed,1.06,10.0,1.06,12.42,1.07,12.54,1.06,9.87
WTA,2023,5,Melbourne,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Gadecki O.,Kudermetova P.,199.0,182.0,326.0,353.0,7.0,5.0,6.0,1.0,,,2.0,0.0,Completed,2.5,1.53,2.49,1.6,2.6,1.6,2.5,1.53
WTA,2023,5,Melbourne,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Kostyuk M.,Anisimova A.,61.0,27.0,915.0,1535.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,2.0,1.8,1.95,1.93,2.05,1.93,1.97,1.85
WTA,2023,5,Melbourne,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Andreescu B.,Bouzkova M.,43.0,26.0,1121.0,1581.0,6.0,2.0,6.0,4.0,,,2.0,0.0,Completed,1.73,2.1,1.81,2.1,1.83,2.2,1.74,2.1
WTA,2023,5,Melbourne,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Raducanu E.,Korpatsch T.,77.0,76.0,784.0,787.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.17,5.0,1.17,5.82,1.19,7.0,1.16,5.32
WTA,2023,5,Melbourne,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Gauff C.,Siniakova K.,7.0,46.0,3762.0,1055.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,1.29,3.75,1.28,4.02,1.32,4.02,1.28,3.72
WTA,2023,5,Melbourne,Australian Open,2023-01-16,Grand Slam,Outdoor,Hard,1st Round,3,Sakkari M.,Yuan Y.,6.0,117.0,3921.0,538.0,6.0,1.0,6.0,4.0,,,2.0,0.0,Completed,1.13,6.0,1.15,6.38,1.16,6.67,1.13,6.05
