Tour,Year,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL,B365W,B365L,B&WW,B&WL,EXW,EXL,PSW,PSL,WPts,LPts,UBW,UBL,LBW,LBL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL,WTA,Tier
ATP,2000,6.0,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,1st Round,5.0,Agassi A.,Puerta M.,1.0,112.0,6.0,2.0,6.0,2.0,6.0,3.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP,2000,6.0,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5.0,Zabaleta M.,Woodbridge T.,33.0,204.0,7.0,6.0,4.0,6.0,6.0,1.0,6.0,4.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP,2000,6.0,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5.0,Vinciguerra A.,Paes L.,99.0,137.0,7.0,6.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP,2000,6.0,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5.0,Vicente F.,Martin T.,55.0,9.0,6.0,4.0,2.0,6.0,3.0,6.0,6.0,3.0,7.0,5.0,3.0,2.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP,2000,6.0,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5.0,Squillari F.,Woodforde M.,48.0,126.0,6.0,4.0,7.0,6.0,3.0,6.0,6.0,4.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP,2000,6.0,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5.0,Sampras P.,Tillstrom M.,3.0,79.0,6.0,3.0,7.0,6.0,6.0,1.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP,2000,6.0,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5.0,Rochus C.,Ullyett K.,120.0,182.0,6.0,4.0,6.0,4.0,6.0,3.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP,2000,6.0,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5.0,Philippoussis M.,Sluiter R.,19.0,166.0,6.0,1.0,2.0,6.0,7.0,6.0,6.0,1.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP,2000,6.0,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5.0,Norman M.,Pozzi G.,11.0,82.0,6.0,4.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP,2000,6.0,Melbourne,Australian Open,2000-01-17,Grand Slam,Outdoor,Hard,2nd Round,5.0,Mirnyi M.,Dupuis A.,67.0,98.0,6.0,7.0,7.0,6.0,7.0,6.0,7.0,6.0,,,3.0,1.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
